artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Luke Combs,Love You Anyway,Love You Anyway,3qXsX3mYSsD1DmAvc3PE3N,0.532,0.489,4,-7.419,1,0.0311,0.149,0,0.237,0.32,139.807
Fuerza Regida,TQM,TQM,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0,0.106,0.963,125.107
Kane Brown,Different Man,Thank God,1brnLTvarI9D1hLP6z2Ar8,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945
Peso Pluma,Bye,Bye,6n2P81rPk2RTzwnNNgFOdb,0.782,0.812,0,-6.613,1,0.0469,0.567,0.00045,0.101,0.7,122.063
Morgan Wallen,One Thing At A Time,One Thing At A Time,1rXq0uoV4KTgRN64jXzIxo,0.613,0.914,7,-5.153,1,0.03,0.00522,2.21e-06,0.26,0.916,141.978
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001
Lil Durk,Almost Healed,Stand By Me (feat. Morgan Wallen),1fXnu2HzxbDtoyvFPWG3Bw,0.756,0.582,11,-7.726,1,0.0343,0.0592,0,0.161,0.605,134.07
Young Thug,BUSINESS IS BUSINESS,Cars Bring Me Out (feat. Future),2Okh2n1EHlGhviAYv75MOB,0.759,0.741,10,-6.065,0,0.171,0.0192,0,0.145,0.69,100.054
Ice Spice,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0,0.101,0.742,147.991
Peso Pluma,GÉNESIS,VVS,3B0swL7Qil9bB7eKzBREBK,0.632,0.729,7,-3.066,1,0.112,0.414,0,0.0987,0.862,110.238
Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55",5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966
Young Thug,BUSINESS IS BUSINESS,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",0r75DNlHu4recmKUdZeMfG,0.768,0.714,4,-6.914,0,0.294,0.00278,0,0.296,0.363,145.113
David Kushner,Daylight,Daylight,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09
Lyrical Lemonade,Doomsday,Doomsday (with Juice WRLD & Cordae),3bkpVSoNvBkvt9LJMFT5at,0.73,0.729,10,-3.939,0,0.203,0.0602,0,0.3,0.885,93.159
Young Thug,BUSINESS IS BUSINESS,Want Me Dead (feat. 21 Savage),3GXjlz7evuodm50dfiDDWo,0.84,0.61,6,-8.28,0,0.366,0.162,0,0.144,0.556,133.233
Doja Cat,Attention,Attention,11xC6P3iKYpFThT6Ce1KdG,0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981
Young Nudy,Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),1KUZ33cOqk3X4Ezk0aZnVp,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014
Doechii,What It Is (Block Boy) (with Kodak Black),What It Is (Block Boy) (with Kodak Black),1O8zCu3dLLPxkbGfIsbRgE,0.731,0.744,1,-5.77,0,0.174,0.109,0,0.123,0.727,171.859
Peso Pluma,GÉNESIS,RUBICON,0xGZjxYqcNQ8WqxyeZ4eSN,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64e-06,0.326,0.915,139.959
Gunna,a Gift & a Curse,back to the moon,3OGCNLxpBmTYRxPZg2yDE5,0.767,0.662,5,-4.856,0,0.0578,0.103,0,0.123,0.259,143.943
Jon Pardi,Mr. Saturday Night,Your Heart Or Mine,7ETjhPaIU4UmHOiimJBZz9,0.639,0.713,5,-4.368,0,0.0337,0.0539,0,0.102,0.717,86.1
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",5rurggqwwudn9clMdcchxT,0.631,0.535,0,-7.836,1,0.0842,0.464,0,0.115,0.22,140.127
Justin Moore,"You, Me, And Whiskey","You, Me, And Whiskey",2BLlpdGCv0IErmH3OBGHYJ,0.555,0.88,0,-4.351,0,0.0535,0.0803,0,0.174,0.422,144.076
Jonas Brothers,Waffle House,Waffle House,5iE3eUH2WGCXcE2xr6DEmU,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002
Post Malone,Mourning,Mourning,0gWrMbx6pbdH3n3nsLjE55,0.596,0.651,9,-4.604,1,0.0331,0.0971,0,0.279,0.255,73.959
Young Thug,BUSINESS IS BUSINESS,Hellcat Kenny (feat. Lil Uzi Vert),5nYygW7bTgPOhckh3uDR9L,0.932,0.503,8,-9.351,0,0.294,0.0661,0,0.0856,0.686,140.096
KAROL G,TQG,TQG,2oMjKuKUEJFuLiVmTq7Vjx,0.839,0.65,4,-3.38,0,0.212,0.666,0,0.126,0.7,90.015
Peso Pluma,PRC,PRC,2mpoNBkngUEwnaKoBhZ0vl,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078
David Guetta,Baby Don't Hurt Me,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
The Weeknd,Popular [The Idol Vol. 1 (Music from the HBO Original Series)],Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),5xP9lQYA8YQmQh6BOxcAnR,0.852,0.675,1,-6.271,1,0.197,0.0652,3.74e-05,0.36,0.83,99.012
Peso Pluma,Por las Noches,Por las Noches,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491
Noah Kahan,Stick Season (We'll All Be Here Forever),Dial Drunk,0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0,0.113,0.646,112.02
Young Thug,BUSINESS IS BUSINESS,Money On The Dresser,0k88aN0xmk8Xn1zdnyTiPG,0.896,0.648,8,-6.903,1,0.267,0.000107,0.00826,0.105,0.441,159.982
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",39MK3d3fonIP8Mz9oHCTBB,0.611,0.483,11,-6.216,0,0.055,0.214,0,0.124,0.204,145.983
Junior H,El Azul,El Azul,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876
Young Thug,BUSINESS IS BUSINESS,Uncle M,612Gkl43RQdwlzKGPgkudm,0.699,0.62,9,-6.664,1,0.069,0.0153,0,0.213,0.266,142.104
Morgan Wallen,One Thing At A Time,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08
Gunna,a Gift & a Curse,rodeo dr,2rjv9fXzpZDbB6lEeIoB3l,0.8,0.754,1,-5.259,0,0.216,0.0668,0,0.278,0.334,134.136
Rod Wave,Fight The Feeling,Fight The Feeling,7l6nGz4gp6HGs5Cvmdeqe4,0.634,0.538,0,-9.213,1,0.0603,0.0514,0,0.099,0.152,168.029
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),0AAMnNeIc6CdnfNU85GwCH,0.775,0.298,9,-9.351,1,0.0517,0.211,0.000233,0.132,0.0472,120.091
Peso Pluma,GÉNESIS,NUEVA VIDA,4Nf5EZ40JenjMUKXOiyRU5,0.639,0.676,5,-7.376,0,0.11,0.296,0.00059,0.18,0.852,179.971
Yahritza Y Su Esencia,Frágil,Frágil,4JdSXF2p71cr8uCY3UiJM0,0.605,0.726,6,-4.515,1,0.0309,0.365,0,0.112,0.393,149.918
